id,name,value,timestamp
115,Temperature,31.0,2023-03-09 12:21:45.104021
116,Humidity,30.0,2023-03-09 12:21:45.111027
117,Voltage,0.003225806,2023-03-09 12:21:45.115029
118,Current,0.0,2023-03-09 12:21:45.120025
119,Object Temperature,1037.549927,2023-03-09 12:21:45.124022
120,Temperature,31.0,2023-03-09 12:21:50.403974
121,Humidity,30.0,2023-03-09 12:21:50.403974
122,Voltage,0.003225806,2023-03-09 12:21:50.420805
123,Current,0.0,2023-03-09 12:21:50.426805
124,Object Temperature,1037.549927,2023-03-09 12:21:50.431508
125,Temperature,31.0,2023-03-09 12:21:55.713094
126,Humidity,30.0,2023-03-09 12:21:55.713094
127,Voltage,0.003225806,2023-03-09 12:21:55.728655
128,Current,0.0,2023-03-09 12:21:55.728655
129,Object Temperature,1037.549927,2023-03-09 12:21:55.728655
130,Temperature,31.0,2023-03-09 12:22:00.992942
131,Humidity,30.0,2023-03-09 12:22:00.999042
132,Voltage,0.003225806,2023-03-09 12:22:01.004067
133,Current,0.0,2023-03-09 12:22:01.008038
134,Object Temperature,1037.549927,2023-03-09 12:22:01.013046
135,Temperature,31.0,2023-03-09 12:22:06.306417
136,Humidity,30.0,2023-03-09 12:22:06.306417
137,Voltage,0.003225806,2023-03-09 12:22:06.322013
138,Current,0.0,2023-03-09 12:22:06.322013
139,Object Temperature,1037.549927,2023-03-09 12:22:06.322013
140,Temperature,29.0,2023-03-09 13:11:51.085581
141,Humidity,31.0,2023-03-09 13:11:51.097841
142,Voltage,0.006451613,2023-03-09 13:11:51.101353
143,Current,0.0,2023-03-09 13:11:51.101353
144,Object Temperature,1037.549927,2023-03-09 13:11:51.117042
145,Temperature,29.0,2023-03-09 13:11:56.392737
146,Humidity,31.0,2023-03-09 13:11:56.398068
147,Voltage,0.009677419,2023-03-09 13:11:56.404595
148,Current,0.0,2023-03-09 13:11:56.409224
149,Object Temperature,1037.549927,2023-03-09 13:11:56.415254
150,Temperature,29.0,2023-03-09 13:12:02.216987
151,Humidity,31.0,2023-03-09 13:12:02.227014
152,Voltage,0.009677419,2023-03-09 13:12:02.232038
153,Current,0.0,2023-03-09 13:12:02.234516
154,Object Temperature,1037.549927,2023-03-09 13:12:02.242525
155,Temperature,29.0,2023-03-09 13:12:07.712317
156,Humidity,31.0,2023-03-09 13:12:07.718473
157,Voltage,0.006451613,2023-03-09 13:12:07.731086
158,Current,0.0,2023-03-09 13:12:07.735121
159,Object Temperature,1037.549927,2023-03-09 13:12:07.749347
160,Temperature,29.0,2023-03-09 13:12:18.175541
161,Humidity,31.0,2023-03-09 13:12:18.179109
162,Voltage,0.025806451,2023-03-09 13:12:18.195246
163,Current,0.0,2023-03-09 13:12:18.195246
164,Object Temperature,1037.549927,2023-03-09 13:12:18.207653
165,Temperature,29.0,2023-03-09 13:12:23.321321
166,Humidity,31.0,2023-03-09 13:12:23.336946
167,Voltage,0.006451613,2023-03-09 13:12:23.345312
168,Current,0.0,2023-03-09 13:12:23.350975
169,Object Temperature,1037.549927,2023-03-09 13:12:23.357322
170,Temperature,29.0,2023-03-09 13:12:28.516875
171,Humidity,31.0,2023-03-09 13:12:28.529204
172,Voltage,0.009677419,2023-03-09 13:12:28.539072
173,Current,0.0,2023-03-09 13:12:28.542802
174,Object Temperature,1037.549927,2023-03-09 13:12:28.553177
175,Temperature,29.0,2023-03-09 13:12:38.677686
176,Humidity,31.0,2023-03-09 13:12:38.694004
177,Voltage,0.025806451,2023-03-09 13:12:38.696981
178,Current,0.0,2023-03-09 13:12:38.706136
179,Object Temperature,1037.549927,2023-03-09 13:12:38.710661
180,Temperature,29.0,2023-03-09 13:12:44.020553
181,Humidity,31.0,2023-03-09 13:12:44.028561
182,Voltage,0.006451613,2023-03-09 13:12:44.036570
183,Current,0.0,2023-03-09 13:12:44.036570
184,Object Temperature,1037.549927,2023-03-09 13:12:44.044569
185,Temperature,29.0,2023-03-09 13:12:49.286185
186,Humidity,31.0,2023-03-09 13:12:49.286185
187,Voltage,0.009677419,2023-03-09 13:12:49.301857
188,Current,0.0,2023-03-09 13:12:49.308768
189,Object Temperature,1037.549927,2023-03-09 13:12:49.308768
190,Temperature,30.0,2023-03-09 13:12:54.610501
191,Humidity,31.0,2023-03-09 13:12:54.616030
192,Voltage,0.006451613,2023-03-09 13:12:54.616030
193,Current,0.0,2023-03-09 13:12:54.624077
194,Object Temperature,1037.549927,2023-03-09 13:12:54.629474
195,Temperature,30.0,2023-03-09 13:12:59.833909
196,Humidity,31.0,2023-03-09 13:12:59.841945
197,Voltage,0.009677419,2023-03-09 13:12:59.847019
198,Current,0.0,2023-03-09 13:12:59.853933
199,Object Temperature,1037.549927,2023-03-09 13:12:59.858779
200,Temperature,29.0,2023-03-09 13:13:05.027330
201,Humidity,31.0,2023-03-09 13:13:05.035341
202,Voltage,0.006451613,2023-03-09 13:13:05.041245
203,Current,0.0,2023-03-09 13:13:05.043876
204,Object Temperature,1037.549927,2023-03-09 13:13:05.043876
205,Temperature,30.0,2023-03-09 13:13:10.169530
206,Humidity,31.0,2023-03-09 13:13:10.177540
207,Voltage,0.009677419,2023-03-09 13:13:10.185589
208,Current,0.0,2023-03-09 13:13:10.193574
209,Object Temperature,1037.549927,2023-03-09 13:13:10.201534
210,Temperature,29.0,2023-03-09 13:13:15.695642
211,Humidity,31.0,2023-03-09 13:13:15.695642
212,Voltage,0.009677419,2023-03-09 13:13:15.711269
213,Current,0.0,2023-03-09 13:13:15.711269
214,Object Temperature,1037.549927,2023-03-09 13:13:15.726864
215,Temperature,29.0,2023-03-09 13:13:39.786724
216,Humidity,31.0,2023-03-09 13:13:39.801761
217,Voltage,0.006451613,2023-03-09 13:13:39.807952
218,Current,0.0,2023-03-09 13:13:39.819411
219,Temperature,30.0,2023-03-09 13:13:45.493967
220,Humidity,31.0,2023-03-09 13:13:45.505695
221,Voltage,0.003225806,2023-03-09 13:13:45.516430
222,Current,0.0,2023-03-09 13:13:45.525819
223,Object Temperature,36.30998993,2023-03-09 13:13:45.530779
224,Temperature,30.0,2023-03-09 13:13:50.665278
225,Humidity,31.0,2023-03-09 13:13:50.678650
226,Voltage,0.006451613,2023-03-09 13:13:50.687956
227,Current,0.0,2023-03-09 13:13:50.697640
228,Object Temperature,1037.549927,2023-03-09 13:13:50.703980
229,Temperature,30.0,2023-03-09 13:13:56.053114
230,Humidity,31.0,2023-03-09 13:13:56.061453
231,Voltage,0.006451613,2023-03-09 13:13:56.065716
232,Current,0.0,2023-03-09 13:13:56.071696
233,Object Temperature,1037.549927,2023-03-09 13:13:56.076316
234,Temperature,30.0,2023-03-09 13:17:42.123559
235,Humidity,31.0,2023-03-09 13:17:42.137772
236,Voltage,0.016129032,2023-03-09 13:17:42.145854
237,Current,0.0,2023-03-09 13:17:42.153859
238,Temperature,30.0,2023-03-09 13:17:47.347498
239,Humidity,31.0,2023-03-09 13:17:47.362339
240,Voltage,0.016129032,2023-03-09 13:17:47.366058
241,Current,0.0,2023-03-09 13:17:47.375653
242,Object Temperature,30.42998695,2023-03-09 13:17:47.379674
243,Temperature,30.0,2023-03-09 13:17:52.711450
244,Humidity,31.0,2023-03-09 13:17:52.715471
245,Voltage,0.016129032,2023-03-09 13:17:52.725243
246,Current,0.0,2023-03-09 13:17:52.731260
247,Object Temperature,1037.549927,2023-03-09 13:17:52.742964
248,Temperature,30.0,2023-03-09 13:17:57.933402
249,Humidity,31.0,2023-03-09 13:17:57.937940
250,Voltage,0.016129032,2023-03-09 13:17:57.948822
251,Current,0.0,2023-03-09 13:17:57.956171
252,Object Temperature,1037.549927,2023-03-09 13:17:57.962513
